id,altitude,availableBikes,availableDocks,city,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
3128,"",1,22,"","",2019-06-12T19:16:33.000-07:00,40.75052534,"",-73.94594845,"",21 St & 43 Ave,"",21 St & 43 Ave,1,In Service,false,23
3186,"",14,26,"","",2019-06-12T19:17:04.000-07:00,40.71958611647166,"",-74.04311746358871,"",Grove St PATH,"",Grove St PATH,1,In Service,false,42
3279,"",14,4,"","",2019-06-12T19:13:50.000-07:00,40.721630142638354,"",-74.04996782541275,"",Dixon Mills,"",Dixon Mills,1,In Service,false,18
3443,"",0,36,"","",2019-06-12T19:17:12.000-07:00,40.76132983124814,"",-73.97982001304626,"",W 52 St & 6 Ave,"",W 52 St & 6 Ave,1,In Service,false,41
545,"",17,9,"","",2019-06-12T19:16:19.000-07:00,40.736502,"",-73.97809472,"",E 23 St & 1 Ave,"",E 23 St & 1 Ave,1,In Service,false,27
3393,"",13,6,"","",2019-06-12T19:15:41.000-07:00,40.6794327,"",-74.00785041,"",Richards St & Delavan St,"",Richards St & Delavan St,1,In Service,false,19
3602,"",8,15,"","",2019-06-12T19:16:49.000-07:00,40.763154,"",-73.920827,"",31 Ave & 34 St,"",31 Ave & 34 St,1,In Service,false,23
3723,"",7,21,"","",2019-06-12T19:17:11.000-07:00,40.695317277669034,"",-73.99015724658966,"",Cadman Plaza E & Johnson St,"",Cadman Plaza E & Johnson St,1,In Service,false,30
311,"",26,5,"","",2019-06-12T19:13:55.000-07:00,40.7172274,"",-73.98802084,"",Norfolk St & Broome St,"",Norfolk St & Broome St,1,In Service,false,31
534,"",0,31,"","",2019-06-12T19:13:59.000-07:00,40.70255065,"",-74.0127234,"",Water - Whitehall Plaza,"",Water - Whitehall Plaza,1,In Service,false,31
3142,"",4,36,"","",2019-06-12T19:17:18.000-07:00,40.7612274,"",-73.96094022,"",1 Ave & E 62 St,"",1 Ave & E 62 St,1,In Service,false,41
3157,"",8,19,"","",2019-06-12T19:15:23.000-07:00,40.77518615,"",-73.94446054,"",E End Ave & E 86 St,"",E End Ave & E 86 St,1,In Service,false,27
3205,"",14,7,"","",2019-06-12T19:15:37.000-07:00,40.71653978099194,"",-74.0496379137039,"",JC Medical Center,"",JC Medical Center,1,In Service,false,22
3381,"",17,4,"","",2019-06-12T19:17:10.000-07:00,40.6777287,"",-73.99364123,"",3 St & Hoyt St,"",3 St & Hoyt St,1,In Service,false,21
